GEOID,year_evictions,eviction-filings,evictions,low-flag,imputed,subbed,evictions_t-1,evictions_t-2,evictions_t-5,year_features,crime_count,violations_count,total_population,total_households,total_renter_households,renter_occupied_household_size,median_gross_rent,median_household_income,units,occupied_units,vacant_units,for_rent_units,num_af_am_alone,num_hisp,black_alone_owner_occupied,num_with_high_school_degree,num_with_ged,num_unemployed
421010006001,2015,10.0,4.0,0,0,1,8.0,9.0,7.0,2014.0,613.0,,1455.0,666.0,653.0,1.43,1636.0,68056.0,764.0,666.0,653.0,94.0,150.0,86.0,0.0,79.0,0.0,97.0
421010006001,2016,12.0,4.0,0,0,1,4.0,8.0,2.0,2015.0,440.0,,1341.0,650.0,644.0,1.46,1640.0,67969.0,750.0,650.0,644.0,83.0,214.0,110.0,1.0,63.0,0.0,122.0
421010007001,2010,10.0,4.0,0,0,1,3.0,2.0,6.0,2009.0,,,360.0,346.0,242.0,.,1510,50469,346.0,346.0,242.0,0.0,14.0,0.0,0.0,,,
421010007001,2011,5.0,2.0,0,0,1,4.0,3.0,2.0,2010.0,,,714.0,556.0,310.0,1.26,720,34167,648.0,556.0,310.0,0.0,24.0,14.0,0.0,,,
421010007001,2012,5.0,2.0,0,0,1,2.0,4.0,2.0,2011.0,114.0,,550.0,464.0,219.0,1.11,726,35257,555.0,464.0,219.0,0.0,22.0,26.0,0.0,,,27.0
421010007001,2013,2.0,0.0,0,0,1,2.0,2.0,2.0,2012.0,97.0,,496.0,414.0,153.0,1.25,766,38537,550.0,414.0,153.0,0.0,0.0,26.0,0.0,52.0,27.0,15.0
421010007001,2014,6.0,4.0,0,0,1,0.0,2.0,3.0,2013.0,108.0,,546.0,445.0,207.0,1.41,790.0,40547.0,524.0,445.0,207.0,0.0,17.0,14.0,0.0,62.0,13.0,16.0
421010007001,2015,1.0,1.0,0,0,1,4.0,0.0,4.0,2014.0,111.0,,575.0,457.0,229.0,1.4,796.0,42443.0,550.0,457.0,229.0,0.0,24.0,31.0,0.0,38.0,13.0,12.0
421010007001,2016,2.0,1.0,0,0,1,1.0,4.0,2.0,2015.0,71.0,,607.0,500.0,228.0,1.32,1012.0,46121.0,650.0,500.0,228.0,0.0,21.0,37.0,0.0,38.0,13.0,13.0
421010007002,2010,40.0,11.0,0,0,1,8.0,8.0,10.0,2009.0,,,1233.0,949.0,559.0,1.29,1078,35521,1301.0,949.0,559.0,162.0,52.0,16.0,0.0,,,
421010007002,2011,23.0,13.0,0,0,1,11.0,8.0,23.0,2010.0,,,984.0,830.0,632.0,1.14,1233,47167,991.0,830.0,632.0,85.0,104.0,0.0,0.0,,,
421010007002,2012,19.0,6.0,0,0,1,13.0,11.0,15.0,2011.0,1082.0,,1112.0,867.0,671.0,1.26,1257,49738,1123.0,867.0,671.0,83.0,138.0,35.0,0.0,,,128.0
421010007002,2013,12.0,3.0,0,0,1,6.0,13.0,8.0,2012.0,1015.0,,1309.0,939.0,729.0,1.36,1188,48092,1207.0,939.0,729.0,129.0,138.0,53.0,0.0,29.0,16.0,117.0
421010007002,2014,20.0,13.0,0,0,1,3.0,6.0,8.0,2013.0,846.0,,1327.0,969.0,750.0,1.32,1116.0,26950.0,1235.0,969.0,750.0,81.0,159.0,72.0,0.0,50.0,16.0,117.0
421010007002,2015,33.0,15.0,0,0,1,13.0,3.0,11.0,2014.0,819.0,,1708.0,1029.0,753.0,1.54,1204.0,44787.0,1328.0,1029.0,753.0,84.0,154.0,166.0,0.0,97.0,0.0,75.0
421010007002,2016,22.0,8.0,0,0,1,15.0,13.0,13.0,2015.0,825.0,,1879.0,1086.0,773.0,1.67,1430.0,79286.0,1373.0,1086.0,773.0,81.0,206.0,211.0,0.0,101.0,0.0,42.0
421010007003,2010,8.0,3.0,0,0,1,7.0,4.0,10.0,2009.0,,,909.0,554.0,524.0,1.6,1284,46532,642.0,554.0,524.0,36.0,0.0,16.0,0.0,,,
421010007003,2011,5.0,5.0,0,0,1,3.0,7.0,13.0,2010.0,,,840.0,557.0,523.0,1.46,1412,38917,645.0,557.0,523.0,38.0,0.0,14.0,0.0,,,
421010007003,2012,8.0,0.0,0,0,1,5.0,3.0,6.0,2011.0,71.0,,927.0,641.0,620.0,1.43,1444,28854,726.0,641.0,620.0,38.0,110.0,14.0,0.0,,,72.0
421010007003,2013,5.0,4.0,0,0,1,0.0,5.0,4.0,2012.0,74.0,,845.0,657.0,657.0,1.29,1375,27215,743.0,657.0,657.0,38.0,116.0,15.0,0.0,0.0,0.0,76.0
421010007003,2014,9.0,5.0,0,0,1,4.0,0.0,7.0,2013.0,84.0,,824.0,655.0,640.0,1.26,1472.0,29712.0,734.0,655.0,640.0,36.0,158.0,16.0,0.0,0.0,0.0,86.0
421010007003,2015,14.0,3.0,0,0,1,5.0,4.0,3.0,2014.0,64.0,,814.0,615.0,599.0,1.33,1567.0,29519.0,696.0,615.0,599.0,36.0,164.0,25.0,0.0,0.0,0.0,69.0
421010007003,2016,11.0,6.0,0,0,1,3.0,5.0,5.0,2015.0,62.0,,755.0,581.0,566.0,1.31,1558.0,,660.0,581.0,566.0,36.0,130.0,26.0,0.0,41.0,0.0,66.0
421010008011,2010,14.0,4.0,0,0,1,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,
421010008011,2011,13.0,7.0,0,0,1,4.0,2.0,7.0,2010.0,,,1510.0,1016.0,738.0,1.40,1565,79000,1083.0,1016.0,738.0,33.0,76.0,59.0,0.0,,,
421010008011,2012,7.0,0.0,0,0,1,7.0,4.0,5.0,2011.0,59.0,,1515.0,982.0,675.0,1.52,1897,64286,1057.0,982.0,675.0,38.0,52.0,12.0,0.0,,,53.0
421010008011,2013,15.0,3.0,0,0,1,0.0,7.0,4.0,2012.0,89.0,,1713.0,1014.0,707.0,1.53,2001,83125,1043.0,1014.0,707.0,0.0,66.0,5.0,0.0,67.0,0.0,33.0
421010008011,2014,10.0,4.0,0,0,1,3.0,0.0,2.0,2013.0,50.0,,1729.0,1060.0,795.0,1.54,2001.0,77704.0,1077.0,1060.0,795.0,0.0,122.0,47.0,0.0,36.0,0.0,6.0
421010008011,2015,16.0,8.0,0,0,1,4.0,3.0,4.0,2014.0,68.0,,1764.0,962.0,721.0,1.67,2001.0,81667.0,1051.0,962.0,721.0,0.0,224.0,60.0,0.0,62.0,0.0,34.0
421010008011,2016,13.0,4.0,0,0,1,8.0,4.0,7.0,2015.0,59.0,,1692.0,927.0,694.0,1.69,2219.0,81620.0,1016.0,927.0,694.0,0.0,180.0,83.0,0.0,57.0,0.0,29.0
421010008031,2010,12.0,3.0,0,0,1,4.0,3.0,7.0,,,,,,,,,,,,,,,,,,,
421010008031,2011,14.0,11.0,0,0,1,3.0,4.0,8.0,2010.0,,,958.0,678.0,600.0,1.34,923,40795,711.0,678.0,600.0,0.0,0.0,15.0,0.0,,,
421010008031,2012,8.0,0.0,0,0,1,11.0,3.0,7.0,2011.0,33.0,,914.0,676.0,566.0,1.22,1020,42037,710.0,676.0,566.0,0.0,0.0,0.0,0.0,,,0.0
421010008031,2013,9.0,2.0,0,0,1,0.0,11.0,3.0,2012.0,40.0,,713.0,563.0,494.0,1.16,1066,43211,563.0,563.0,494.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
421010008031,2014,16.0,2.0,0,0,1,2.0,0.0,4.0,2013.0,29.0,,801.0,610.0,576.0,1.27,1175.0,29717.0,610.0,610.0,576.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
421010008031,2015,10.0,2.0,0,0,1,2.0,2.0,3.0,2014.0,23.0,,733.0,557.0,530.0,1.33,1251.0,41193.0,557.0,557.0,530.0,0.0,0.0,0.0,0.0,64.0,0.0,31.0
421010008031,2016,12.0,3.0,0,0,1,2.0,2.0,11.0,2015.0,35.0,,660.0,552.0,517.0,1.21,1303.0,41680.0,552.0,552.0,517.0,0.0,0.0,0.0,0.0,41.0,0.0,46.0
421010008032,2010,5.0,3.0,0,0,1,4.0,6.0,10.0,,,,,,,,,,,,,,,,,,,
421010008032,2011,5.0,4.0,0,0,1,3.0,4.0,5.0,2010.0,,,850.0,604.0,401.0,1.18,1354,51574,671.0,604.0,401.0,0.0,9.0,39.0,0.0,,,
421010008032,2012,9.0,5.0,0,0,1,4.0,3.0,2.0,2011.0,65.0,,764.0,546.0,358.0,1.15,1428,50405,617.0,546.0,358.0,0.0,16.0,0.0,0.0,,,71.0
421010008032,2013,3.0,0.0,0,0,1,5.0,4.0,6.0,2012.0,64.0,,841.0,608.0,448.0,1.19,1500,75570,625.0,608.0,448.0,0.0,2.0,0.0,0.0,104.0,0.0,62.0
421010008032,2014,9.0,5.0,0,0,1,0.0,5.0,4.0,2013.0,48.0,,817.0,579.0,383.0,1.25,1411.0,76886.0,610.0,579.0,383.0,0.0,2.0,0.0,0.0,115.0,0.0,78.0
421010008032,2015,2.0,0.0,0,0,1,5.0,0.0,3.0,2014.0,44.0,,1044.0,661.0,423.0,1.31,1421.0,78609.0,696.0,661.0,423.0,0.0,2.0,20.0,0.0,114.0,0.0,74.0
421010008032,2016,2.0,0.0,0,0,1,0.0,5.0,4.0,2015.0,39.0,,1120.0,646.0,404.0,1.54,1491.0,79864.0,679.0,646.0,404.0,0.0,17.0,19.0,0.0,39.0,0.0,16.0
421010008033,2010,3.0,2.0,0,0,1,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,,
421010008033,2011,3.0,0.0,0,0,1,2.0,2.0,4.0,2010.0,,,1004.0,637.0,313.0,1.66,1483,106658,736.0,637.0,313.0,32.0,18.0,115.0,0.0,,,
421010008033,2012,0.0,0.0,0,0,1,0.0,2.0,2.0,2011.0,94.0,,1201.0,756.0,437.0,1.57,1617,115970,818.0,756.0,437.0,0.0,16.0,113.0,0.0,,,17.0
421010008033,2013,1.0,0.0,0,0,1,0.0,0.0,1.0,2012.0,82.0,,1236.0,773.0,451.0,1.60,1564,111303,835.0,773.0,451.0,0.0,15.0,110.0,0.0,0.0,0.0,17.0
421010008033,2014,2.0,1.0,0,0,1,0.0,0.0,2.0,2013.0,73.0,,938.0,617.0,363.0,1.49,1583.0,83447.0,676.0,617.0,363.0,0.0,14.0,45.0,0.0,0.0,0.0,15.0
421010008033,2015,0.0,0.0,0,0,1,1.0,0.0,2.0,2014.0,86.0,,782.0,513.0,304.0,1.45,1330.0,84620.0,620.0,513.0,304.0,0.0,15.0,65.0,0.0,0.0,0.0,15.0
421010008033,2016,3.0,2.0,0,0,1,0.0,1.0,0.0,2015.0,54.0,,642.0,444.0,233.0,1.33,1343.0,71875.0,608.0,444.0,233.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
421010008034,2010,0.0,0.0,0,0,1,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
421010008034,2011,1.0,1.0,0,0,1,0.0,0.0,3.0,2010.0,,,889.0,650.0,140.0,1.29,1387,107727,884.0,650.0,140.0,60.0,0.0,0.0,0.0,,,
421010008034,2012,2.0,0.0,0,0,1,1.0,0.0,1.0,2011.0,26.0,,885.0,659.0,104.0,1.46,1563,153750,817.0,659.0,104.0,64.0,0.0,0.0,0.0,,,17.0
421010008034,2013,7.0,2.0,0,0,1,0.0,1.0,2.0,2012.0,28.0,,890.0,658.0,99.0,1.32,1412,104853,905.0,658.0,99.0,114.0,0.0,0.0,0.0,34.0,0.0,10.0
421010008034,2014,6.0,4.0,0,0,1,2.0,0.0,0.0,2013.0,33.0,,1000.0,703.0,181.0,1.52,1569.0,92102.0,902.0,703.0,181.0,105.0,0.0,0.0,0.0,27.0,15.0,9.0
421010008034,2015,2.0,2.0,0,0,1,4.0,2.0,0.0,2014.0,27.0,,1129.0,767.0,263.0,1.54,1503.0,63672.0,893.0,767.0,263.0,46.0,0.0,0.0,0.0,31.0,38.0,10.0
421010008034,2016,4.0,1.0,0,0,1,2.0,4.0,1.0,2015.0,24.0,,1110.0,736.0,285.0,1.61,1464.0,67632.0,886.0,736.0,285.0,45.0,0.0,0.0,0.0,15.0,51.0,10.0
421010008041,2010,18.0,4.0,0,0,1,3.0,3.0,7.0,,,,,,,,,,,,,,,,,,,
421010008041,2011,6.0,3.0,0,0,1,4.0,3.0,4.0,2010.0,,,927.0,750.0,610.0,1.24,1510,64643,1050.0,750.0,610.0,28.0,0.0,26.0,0.0,,,
421010008041,2012,8.0,8.0,0,0,1,3.0,4.0,7.0,2011.0,228.0,,961.0,818.0,661.0,1.18,1205,72917,1012.0,818.0,661.0,28.0,0.0,31.0,0.0,,,14.0
421010008041,2013,6.0,3.0,0,0,1,8.0,3.0,3.0,2012.0,253.0,,1254.0,908.0,730.0,1.40,1409,78873,1159.0,908.0,730.0,78.0,15.0,100.0,0.0,190.0,0.0,57.0
