,year,GEOID,crime_count
894,2011,421010267005,89
895,2011,421010267006,99
896,2011,421010267007,76
897,2011,421010268001,132
898,2011,421010268002,94
899,2011,421010268003,124
900,2011,421010268004,112
901,2011,421010269001,41
902,2011,421010269002,91
903,2011,421010270001,60
904,2011,421010270002,95
905,2011,421010271001,59
906,2011,421010271002,45
907,2011,421010271003,38
908,2011,421010272001,35
909,2011,421010272002,138
910,2011,421010272003,87
911,2011,421010273001,284
912,2011,421010273002,107
913,2011,421010273003,95
914,2011,421010273004,81
915,2011,421010273005,79
916,2011,421010274011,88
917,2011,421010274012,119
918,2011,421010274013,95
919,2011,421010274021,74
920,2011,421010274022,93
921,2011,421010274023,101
922,2011,421010274024,138
923,2011,421010274025,92
924,2011,421010275001,137
925,2011,421010275002,127
926,2011,421010275003,121
927,2011,421010275004,47
928,2011,421010276001,127
929,2011,421010276002,108
930,2011,421010276003,132
931,2011,421010276004,90
932,2011,421010277001,85
933,2011,421010277002,102
934,2011,421010277003,116
935,2011,421010277004,63
936,2011,421010277005,50
937,2011,421010277006,126
938,2011,421010278001,116
939,2011,421010278002,272
940,2011,421010278003,325
941,2011,421010278004,157
942,2011,421010279011,78
943,2011,421010279012,76
944,2011,421010279013,98
945,2011,421010279014,111
946,2011,421010279021,152
947,2011,421010279022,276
948,2011,421010280001,114
949,2011,421010280002,105
950,2011,421010280003,136
951,2011,421010280004,154
952,2011,421010281001,143
953,2011,421010281002,142
954,2011,421010281003,165
955,2011,421010282001,173
956,2011,421010282002,167
957,2011,421010282003,470
958,2011,421010283001,70
959,2011,421010283002,83
960,2011,421010283003,137
961,2011,421010283004,170
962,2011,421010283005,102
963,2011,421010283006,79
964,2011,421010283007,170
965,2011,421010284001,176
966,2011,421010284002,86
967,2011,421010284003,101
968,2011,421010284004,109
969,2011,421010285001,359
970,2011,421010286001,260
971,2011,421010286002,96
972,2011,421010286003,161
973,2011,421010286004,72
974,2011,421010286005,103
975,2011,421010286006,143
976,2011,421010287001,238
977,2011,421010287002,131
978,2011,421010288001,202
979,2011,421010288002,114
980,2011,421010288003,245
981,2011,421010289011,165
982,2011,421010289012,132
983,2011,421010289013,85
984,2011,421010289021,103
985,2011,421010289022,108
986,2011,421010289023,122
987,2011,421010289024,89
988,2011,421010289025,71
989,2011,421010290001,48
990,2011,421010290002,107
991,2011,421010290003,182
992,2011,421010290004,157
993,2011,421010291001,212
994,2011,421010291002,255
995,2011,421010291003,220
996,2011,421010291004,61
997,2011,421010292001,141
998,2011,421010292002,210
999,2011,421010292003,77
1000,2011,421010293001,258
1001,2011,421010293002,501
1002,2011,421010294001,80
1003,2011,421010294002,277
1004,2011,421010294003,213
1005,2011,421010298001,121
1006,2011,421010298002,132
1007,2011,421010298003,99
1008,2011,421010298004,162
1009,2011,421010298005,115
1010,2011,421010299001,280
1011,2011,421010299002,111
1012,2011,421010299003,123
1013,2011,421010299004,230
1014,2011,421010300001,57
1015,2011,421010300002,286
1016,2011,421010300003,139
1017,2011,421010300004,491
1018,2011,421010300005,119
1019,2011,421010300006,360
1020,2011,421010300007,433
1021,2011,421010301001,174
1022,2011,421010301002,296
1023,2011,421010301003,50
1024,2011,421010301004,77
1025,2011,421010301005,142
1026,2011,421010302001,561
1027,2011,421010302002,90
1028,2011,421010302003,261
1029,2011,421010302004,158
1030,2011,421010302005,131
1031,2011,421010305011,103
1032,2011,421010305012,122
1033,2011,421010305013,176
1034,2011,421010305021,136
1035,2011,421010305022,75
1036,2011,421010305023,45
1037,2011,421010305024,222
1038,2011,421010305025,64
1039,2011,421010306001,82
1040,2011,421010306002,49
1041,2011,421010306003,69
1042,2011,421010306004,85
1043,2011,421010306005,53
1044,2011,421010306006,50
1045,2011,421010306007,125
1046,2011,421010307001,115
1047,2011,421010307002,69
1048,2011,421010307003,143
1049,2011,421010308001,23
1050,2011,421010308002,91
1051,2011,421010308003,150
1052,2011,421010308004,76
1053,2011,421010309001,87
1054,2011,421010309002,51
1055,2011,421010309003,214
1056,2011,421010310001,127
1057,2011,421010310002,122
1058,2011,421010310003,109
1059,2011,421010310004,103
1060,2011,421010310005,56
1061,2011,421010310006,69
1062,2011,421010310007,73
1063,2011,421010311011,156
1064,2011,421010311012,109
1065,2011,421010311013,167
1066,2011,421010311014,97
1067,2011,421010311021,120
1068,2011,421010311022,88
1069,2011,421010311023,158
1070,2011,421010311024,139
1071,2011,421010312001,132
1072,2011,421010312002,156
1073,2011,421010312003,131
1074,2011,421010313001,125
1075,2011,421010313002,109
1076,2011,421010313003,216
1077,2011,421010313004,173
1078,2011,421010313005,84
1079,2011,421010313006,57
1080,2011,421010314011,139
1081,2011,421010314012,153
1082,2011,421010314013,100
1083,2011,421010314014,103
1084,2011,421010314015,129
1085,2011,421010314021,80
1086,2011,421010314022,88
1087,2011,421010314023,204
