classifier,explained_variance,mean_squared_error,parameters,r2,root_mean_squared_error,split
RFR,0.8668626343544619,9.860643247624854,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8668070319388715,3.140166117839127,2
RFR,0.8599455124213813,10.380124534231465,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8597901211068104,3.2218200654647777,2
RFR,0.8618845430217859,10.23003214657977,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8618174990468375,3.1984421436974237,2
RFR,0.8557385219922268,10.680247380239521,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.855736201738782,3.268064776016461,2
RFR,0.8599094795933853,10.37203613473054,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}",0.8598993754332614,3.2205645677009085,2
RFR,0.8505478672255198,11.067461469513264,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.8505058944930676,3.326779444073993,2
RFR,0.8554928167483274,10.701227436512621,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.8554528129278363,3.2712730605243916,2
RFR,0.8466077465272482,11.360092778830683,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8465531673071419,3.370473672769257,2
RFR,0.8486901747335158,11.205137101913966,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.8486462362893739,3.347407519546129,2
LR,0.7920668413514635,14.802123338822996,{},0.7917983666305674,3.847352770259441,3
SVR,0.8493026950741371,10.948339680523338,{'C': 0.01},0.8460043770754322,3.308827538649202,3
SVR,0.8908090413292312,7.823257701761619,{'C': 0.1},0.8899607174935026,2.79700870605753,3
DTR,0.8543853537410351,10.38577556249252,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 2}",0.8539172126577335,3.2226969392874225,3
